tsi,ts,date,time,lat,lon,speed,heading,hr,distance_orig,calories,nearest_land_lat,nearest_land_lon,avg_speed_15s,avg_speed_1k,dwid,distance,distance_to_land
1759017394.000588,2025-09-27 23:56:34.000588-10,2025-09-27,13:56:34,20.9358023648,-156.3977835457,23.57856,264.59,144,,259.667,20.915434987043614,-156.39265750858058,22.751111999999996,22.687895094339613,01998e98-a600-79ee-82e5-b6e98bafa701,7233.177333959698,2326.48521362256
1759017395.0005903,2025-09-27 23:56:35.00059-10,2025-09-27,13:56:35,20.9357980267,-156.3978418327,23.26428,265.46,144,,259.667,20.915434987043614,-156.39265750858058,22.775568000000003,22.68211245283018,01998e98-a600-79ee-82e5-b6e98bafa701,7239.249860783002,2327.4087310761774
1759017396.0005915,2025-09-27 23:56:36.000592-10,2025-09-27,13:56:36,20.9357925964,-156.397895764,21.75264,265.73,144,,259.667,20.915434987043614,-156.39265750858058,22.699248,22.666822641509423,01998e98-a600-79ee-82e5-b6e98bafa701,7244.883295690532,2328.123884990492
1759017397.0005944,2025-09-27 23:56:37.000594-10,2025-09-27,13:56:37,20.9357907167,-156.3979537681,22.7376,269.47,144,,259.667,20.915434987043614,-156.39265750858058,22.688591999999996,22.660650566037724,01998e98-a600-79ee-82e5-b6e98bafa701,7250.910878357851,2329.3359603914114
1759017398.000596,2025-09-27 23:56:38.000596-10,2025-09-27,13:56:38,20.9357947477,-156.3980149157,22.7376,274.39,144,,260.577,20.915434987043614,-156.39265750858058,22.698552,22.657000754716968,01998e98-a600-79ee-82e5-b6e98bafa701,7257.27709981297,2331.279158945339
1759017399.0005975,2025-09-27 23:56:39.000598-10,2025-09-27,13:56:39,20.9357998312,-156.3980728271,22.7376,277.0,144,,260.577,20.915434987043614,-156.39265750858058,22.750007999999998,22.664372830188665,01998e98-a600-79ee-82e5-b6e98bafa701,7263.317934686225,2333.2706444720548
1759017400.0005996,2025-09-27 23:56:40.0006-10,2025-09-27,13:56:40,20.9358182903,-156.3981277096,22.96512,287.26,144,,260.577,20.915434987043614,-156.39265750858058,22.816631999999995,22.666987924528286,01998e98-a600-79ee-82e5-b6e98bafa701,7269.376014613018,2336.642134514778
1759017401.0006008,2025-09-27 23:56:41.000601-10,2025-09-27,13:56:41,20.9358294227,-156.3981926367,22.96512,279.71,143,,260.577,20.915434987043614,-156.39265750858058,23.036376,22.66960301886791,01998e98-a600-79ee-82e5-b6e98bafa701,7276.231634132605,2339.4907866525723
1759017402.0006027,2025-09-27 23:56:42.000603-10,2025-09-27,13:56:42,20.9358302608,-156.3982518021,22.51512,271.15,143,,260.577,20.915434987043614,-156.39265750858058,23.226119999999998,22.666700377358477,01998e98-a600-79ee-82e5-b6e98bafa701,7282.376902577023,2341.098649728398
1759017403.0006044,2025-09-27 23:56:43.000604-10,2025-09-27,13:56:43,20.9358257003,-156.3983114668,22.51512,265.97,143,,261.032,20.915434987043614,-156.39265750858058,23.169096000000003,22.661524528301875,01998e98-a600-79ee-82e5-b6e98bafa701,7288.594034389857,2342.1534040939023
